SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Daily Range
20MICRONS,EQ,35,35.85,34.7,34.9,35,34.7,23186,814884.75,31-JAN-2020,507,INE144J01027,1.1499977
21STCENMGM,EQ,14.3,14.3,14.3,14.3,14.3,14.55,1000,14300,31-JAN-2020,2,INE253B01015,0.0
3IINFOTECH,EQ,2.3,2.35,2.25,2.25,2.25,2.25,801110,1830509.95,31-JAN-2020,539,INE748C01020,0.099999905
3MINDIA,EQ,22290.2,24139.9,21888,22981.25,22900,22132.3,27244,631205343.8,31-JAN-2020,9341,INE470A01017,2251.9004
3PLAND,EQ,7.65,7.65,6.95,6.95,6.95,7.3,5029,38453.65,31-JAN-2020,7,INE105C01023,0.7000003
5PAISA,EQ,190.95,193.8,185.45,187.3,188.2,190.9,11725,2214157.35,31-JAN-2020,275,INE618L01018,8.350006
63MOONS,EQ,105.6,106.7,102,103.05,103.1,105.15,89439,9319977.2,31-JAN-2020,2202,INE111B01023,4.699997
769GS2043,GS,101,101,101,101,101,101,1,101,31-JAN-2020,1,IN0020190040,0.0
824GS2027,GS,99,99,99,99,99,104,100,9900,31-JAN-2020,1,IN0020060078,0.0
A2ZINFRA,EQ,6.95,8,6.9,7.4,7.4,6.95,404831,3036670.5,31-JAN-2020,591,INE619I01012,1.0999999
AARON,SM,44,49.1,44,49.1,49.1,48.5,9900,462330,31-JAN-2020,3,INE721Z01010,5.0999985
AARTIDRUGS,EQ,620,628,610,614.5,611,619.4,11297,7005394.3,31-JAN-2020,841,INE767A01016,18.0
AARTIIND,EQ,986,999,951,985.1,990,975.9,323424,316264429.5,31-JAN-2020,13212,INE769A01020,48.0
AARVEEDEN,EQ,14.15,14.4,13.3,13.6,13.35,13.85,6790,93275.9,31-JAN-2020,82,INE273D01019,1.0999994
AARVI,SM,27,27,27,27,27,26.8,2000,54000,31-JAN-2020,1,INE754X01016,0.0
AAVAS,EQ,1969,2014,1960,1994.05,1980,1955.85,68782,136993576.55,31-JAN-2020,7717,INE216P01012,54.0
ABAN,EQ,26.35,26.35,25.4,25.45,25.55,25.95,24972,643830.15,31-JAN-2020,314,INE421A01028,0.95000076
ABB,EQ,1349,1349,1295,1310.7,1304.95,1331.75,16129,21341795.5,31-JAN-2020,2299,INE117A01022,54.0
ABBOTINDIA,EQ,12521,12600,12440.1,12498.8,12525,12516.55,6144,76749566.85,31-JAN-2020,1311,INE358A01014,159.90039
ABCAPITAL,EQ,100.6,103,98.5,99.2,99,100.05,2159998,216022968.85,31-JAN-2020,20088,INE674K01013,4.5
ABFRL,EQ,230.05,235.2,227.6,233.65,234,229.65,271489,63235665.75,31-JAN-2020,7205,INE647O01011,7.599991
ABINFRA,SM,11.4,11.4,11.4,11.4,11.4,12,4000,45600,31-JAN-2020,1,INE00YB01017,0.0
